Player Name,Team,Position,Age,Height,Impact,Attacking Rating,Blocking Rating,Serving Rating,Setting Rating,Defense Rating,Receiving Rating,Running Sets,Setting Errors,Still Sets,Sets Per Match,Successful Receives,Receiving Errors,Service Receptions,Receives Per Match,Aces,Service Errors,Service Attempts,Serves Per Match,Blocks,Blocking Errors,Rebounds,Blocks Per Match,Great Saves,Defensive Errors,Defensive Receptions,Digs Per Match,Kills,Attacking Errors,Attacking Attempts,Attacks Per Match
Goto,JPN,OUTSIDE HITTER,24,187cm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,1,1,0.0,0,0,0,0.0,0,0,0,0.0,1,0,0,1.0,0,1,0,0.0
Granieczny,POL,LIBERO,20,179cm,14.84,0.0,0.0,0.0,0.01,14.18,5.01,1,1,38,0.07,17,7,68,1.13,0,0,0,0.0,0,0,0,0.0,35,12,23,2.33,0,0,0,0.0
Graven,GER,LIBERO,21,180cm,90.25,0.0,0.0,0.0,0.08,51.71,64.95,3,0,71,0.25,73,12,140,6.08,0,0,0,0.0,0,0,0,0.0,75,38,36,6.25,0,0,0,0.0
Grebennikov,FRA,LIBERO,35,188cm,49.7,0.0,0.0,0.0,0.2,29.56,34.64,2,0,24,0.4,18,1,39,3.6,0,0,1,0.0,0,0,0,0.0,23,12,16,4.6,0,0,0,0.0
Greves,CAN,SETTER,22,185cm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,2,14,0.0,0,1,0,0.0,0,1,0,0.0,0,0,1,0.0
Grozdanov,BUL,MIDDLE BLOCKER,27,208cm,67.62,18.78,72.23,20.41,0.16,3.58,1.07,2,1,11,0.25,2,1,4,0.25,7,9,80,0.88,20,29,37,2.5,8,4,8,1.0,37,17,27,4.62
Grozer,GER,OPPOSITE SPIKER,40,200cm,3.04,0.0,0.0,11.41,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,1,3,3,0.25,0,2,2,0.0,1,2,0,0.25,3,3,5,0.75
Gueye,FRA,MIDDLE BLOCKER,28,198cm,23.8,21.54,18.92,2.31,0.04,0.0,0.16,1,0,7,0.08,1,0,12,0.08,3,19,111,0.23,13,37,31,1.0,9,9,4,0.69,53,11,32,4.08
Gulmezoglu,TUR,OUTSIDE HITTER,29,199cm,11.89,7.82,8.39,6.17,0.0,0.0,7.98,0,1,19,0.0,15,5,91,1.88,3,13,54,0.38,4,10,6,0.5,14,14,16,1.75,28,17,44,3.5
Gyimah,CAN,MIDDLE BLOCKER,27,200cm,32.51,19.71,29.08,6.66,0.12,5.1,4.01,2,1,7,0.17,7,0,15,0.58,4,19,49,0.33,16,36,34,1.33,14,6,11,1.17,40,6,19,3.33
Gürbüz,TUR,OPPOSITE SPIKER,24,200cm,44.69,49.1,2.09,2.99,0.15,44.43,0.0,1,1,6,0.25,0,1,0,0.0,1,6,28,0.25,1,11,5,0.25,16,7,3,4.0,37,15,23,9.25
Haghparast,IRI,OUTSIDE HITTER,20,198cm,4.96,4.05,0.59,3.74,0.0,7.46,0.0,0,0,2,0.0,6,6,24,0.5,2,6,19,0.17,1,7,2,0.08,9,1,1,0.75,17,10,12,1.42
Hatipoğlu,TUR,LIBERO,33,190cm,1.8,0.0,0.0,0.0,0.0,2.33,0.0,0,0,5,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,7,4,3,0.58,0,0,0,0.0
Hawryluk,POL,LIBERO,22,182cm,12.53,0.0,0.0,0.0,0.0,10.56,5.64,0,0,9,0.0,4,1,12,1.0,0,0,0,0.0,0,0,0,0.0,6,4,1,1.5,0,0,0,0.0
